Company name, Address, Telephone, Fax, email
HA BAC FOOD JOINT STOCK COMPANY - HBF COMPANY                    , 76A Ly Thai To St. Tran Phu Ward Bac Giang City Bac Giang Province Viet Nam., +84.204 3854335 | 3851514, +84.204 3855847 | 3857305, doducsinh@gmail.com
VietNam Northern Food Corporation - VINAFOOD 1                    , 6 Ngo Quyen Street Ly Thai To Ward Hoan Kiem District Ha Noi Vietnam., +84.24 39264466, +84.24 39264477, vinafood1@vinafood1.com.vn
Hanoi Food Import - Export Joint Stock Company - VIHAFOODCO                    , No.2 Ngo Gach Street Hang Buom Ward Hoan Kiem Dist Ha Noi Vietnam., +84.24 37150321, +84.24 37150328, info@vihafood.com  | kinhdoanh@vihafood.com
The Vietnam National General Export - Import Joint Stock Company No. 1 - GENERALEXIM                    , 46 Ngo Quyen Street Hoan Kiem District Ha Noi Vietnam., +84.24 38264009, +84.24 38259894, gexim@ge1.com.vn
Vilexim Import Export Co-Operation And Investment Joint Stock Company - VILEXIM                    , 170 Giai Phong Street Phuong Liet Ward Thanh Xuan District Ha Noi Vietnam., +84.24 38694171 - 38694169 - 38694175, +84.24 38694168, vilexim@hn.vnn.vn  | vilexim-hcm@hcm.vnn.vn
Hanoi Trade Corporation - HAPRO                    , Hapro Bulding 11B Cat Linh Street Dong Da District Ha Noi Vietnam., +84.24 38267984, +84.24 39288407, doingoai@haprogroup.vn
Ha Son Binh Food Joint Stock Company - HSB FC                    , 37 Ba Trieu Street Nguyen Trai Ward Ha Dong District Hanoi Vietnam., +84.24 33824738 | 33820942, +84.24 33820941, luongthuchas@gmail.com
Tan Long Group Joint stock Company - Tan Long Group JSC                    , Floor 14 Diamond Flower Building Nhan Chinh Ward Thanh Xuan District Hanoi Vietnam., +84.24 66688666, +84.24 62620862, hn@tanlong.net
Vietnam Joint Stock Commercial Bank For Industry And Trade - Vietinbank                    , 108 Tran Hung Dao Hoan Kiem District Ha Noi Vietnam., +84.24 39418868 | 1900 558868, +84.24 39421032, contact@vietinbank.vn
SAIGON-HANOI COMMERCIAL JOINT STOCK BANK*                    , No. 77 Tran Hung Dao Street Tran Hung Dao Ward Hoan Kiem District Ha Noi City Vietnam., +84.24 38223838, +84.24 39410844, info@shb.com.vn
Minh Khai Trading Joint Stock Company - MINHKHAI J.S.C                    , 23 Minh Khai St. Hong Bang Dist. Hai Phong City VIetnam., +84.225 3842346, +84.225 3823969, mktraco@hn.vnn.vn
Tuong Lan Agricultural and Foodstuff Processing Export Company Limited - TUONG LAN AGREX CO. LTD                    , Trai Trang Hamlet Yen My Town Yen My District Hung Yen Province Vietnam., +84.221 3961242, +84.221 3580055, rice@tuonglanagrex.com
Cao Lang Food Company                    , 3 Minh Khai Street Hoang Van Thu Ward Lang Son City Lang Son Province Vietnam., +84.205 3870341, +84.205 3870783, luongthuccaolang@gmail.com
Thanh Nghe Tinh Food Joint Stock Company - THANH NGHE TINH FOOD JS. CO.                    , 25A Ho Xuan Huong Street Cua Nam Ward Vinh City Nghe An Vietnam., +84.238 3844757, +84.238 3845352, luongthucthanhnghetinh@gmail.com
HUNG CUC COMPANY LIMITED - HUNG CUC CO. LTD                    , Xuan Quang Industrial Area Dong Xuan Commune Dong Hung Ward Thai Binh Vietnam., +84.227 3795777, +84.227 3795795, hungcuctb@yahoo.com  | gaohungcuc@gmail.com
Song Hong Food Company - SHF CO.                    , 155 Le Loi St. De Tham Ward Thai Binh City Thai Binh Province Vietnam., +84.227 3831042, +84.227 3831368, vnf1tb@gmail.com
Binh Dinh Food Joint Stock Company - BIDIFOOD                    , 557 Tran Hung Dao Street Quy Nhon City Binh Dinh Province Vietnam., +84.256 3822664, +84.256 3825242, bidifood_kd@bidifood.vn  | bidifood@vnn.vn
Danang Food Joint Stock Company - DANAFOOD                    , Floot 7 Building 35 Cao Thang Street Thanh Binh Ward Hai Chau District Đa Nang City Vietnam., +84.236 3888625, +84.236 3821252, danafood@danafood.com.vn
The Southern Central Food Joint Stock Company - SCFC                    , 66 Tran Phu St. Phu Ha Ward Phan Rang-Thap Cham City Ninh Thuan Province Vietnam., +84.259 3830576 - 3822911, +84.259 3824485, ltntbfood@gmail.com
Binh Tri Thien Food Joint Stock Company - BINH TRI THIEN FOOD JSC - BTTF                    , 56B Nguyen Chi Dieu St. Thuan Thanh Ward Hue City Vietnam., +84.234 3558810, +84.234 3588802, binhtrithienfood@gmail.com  | hdqtbtt@gmail.com
ANGIMEX - KITOKU LIMITED COMPANY - AKJ                    ,NaN, +84.296 3835461 | 3835.462, +84.296 3835460, chau.tn@angimex-kitoku.com.vn
An Giang Import - Export Company - ANGIMEX                    , 01 Ngo Gia Tu Street Long Xuyen City An Giang Province Vietnam., +84.296 3841548, +84.296 3843239, rice@angimex.com.vn
An Giang Agriculture and Foods Import-Export Company - ANGIANG AFIEX                    , 2045 Tran Hung Dao Street My Thoi Ward Long Xuyen City An Giang Vietnam., +84.296 3932963, +84.296 3932981, xnknstpagg@hcm.vnn.vn
AN GIANG TOURIMEX JOINT STOCK COMPANY - ANGIANG TOURIMEX                    , 80E Tran Hung Dao Street My Xuyen Ward Long Xuyen City An Giang Province Vietnam., +84.296 3841308 | 3843752, +84.296 3841648, angiangtourimex@vnn.vn
AN GIANG FOOD & FOODSTUFF COMPANY - ANFOODCO                    , 6 Nguyen Du Street My Binh Ward Long Xuyen City An Giang Province Vietnam., +84.296 3955802, +84.296 3955801, lttp.ag@anfoodco.com.vn
Khiem Thanh Agricultural High Technology Joint Stock Company - KHIEMTHANH AGRICO                    , Long Hoa 2 Hamlet Long Hoa Commune Phu Tan District An Giang Province Vietnam., +84.296 3820666, +84.296 3820630, ketoan@khiemthanh.com.vn
Phu Vinh Trading Company Limited                    , Long Hoa 2 Hamlet Phu Tan Dist. An Giang Vietnam., +84.296 3820136, +84.296 3820137, phuvinhag@hcm.vnn.vn  | lytran@vinhphat.com
GLOBAL CORPORATION COMPANY - PVL CO.                    , Phu Hoa Hamlet Phu Lam Commune Phu Tan Dist. An Giang Vietnam., +84.296 2475869, +84.296 3580448, lytran@vinhphat.com    
THINH PHU AN GIANG IMPORT EXPORT CORPORATION - THINHPHU ANGIMEX                    , Long Chau Ward Tan Chau Town An Giang Vietnam., +84.296 3536999, +84.296 3820630, ketoan@thinhphuangiang.com
LOC TROI GROUP                    , 23 Ha Hoang Ho Street My Xuyen Ward Long Xuyen City An Giang Province Vietnam., +84.296 3841299, +84.296 3841327, support@loctroi.vn
